state,x,y
Andhra Pradesh,-91,-187
Arunachal Pradesh,234,111
Assam,216,69
Bihar,66,52
Chhattisgarh,-25,-35
Goa,-177,-178
Gujarat,-229,-5
Haryana,-139,141
Himachal Pradesh,-129,201
Jharkhand,40,11
Karnataka,-161,-190
Kerala,-129,-278
Madhya Pradesh,-104,-5
Maharashtra,-140,-83
Manipur,228,33 
Meghalaya,167,49
Mizoram,213,4
Nagaland,246,65
Odisha,38,-59
Punjab,-156,176
Rajasthan,-208,79
Sikkim,123,98
Tamil Nadu,-106,-267
Telangana,-88,-120
Tripura,187,12
Uttar Pradesh,-58,88
Uttarakhand,-84,163
West Bengal,89,-0
Jammu And Kashmir,-152,269

